index,genres,keywords,tagline,title,cast,director
6795,"Crime, Drama",A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,,Jai Gangaajal,"Priyanka Chopra Jonas, Prakash Jha, Manav Kaul, Ninad Kamat",Prakash Jha
6796,"Action, Crime, Drama","Savitri's twin sons get s abducted by a criminal named Gama Mating. In need of a son, Savitri adopt a young boy, but searches frantically for her twin babies. Years later her adopted son ...                See full summary »",,Yudh,"Jackie Shroff, Anil Kapoor, Tina Ambani, Nutan",Rajiv Rai
6797,"Action, Crime, Drama","Hidden with a mysterious agenda, a sniper holds a businessman hostage in a closed phone booth, where he is ordered to obey the sniper or he will be killed.",,Knock Out,"Sanjay Dutt, Irrfan Khan, Kangana Ranaut, Gulshan Grover",Mani Shankar
6798,Romance,"Nikhil and Lalitha are two completely different individuals who are drawn to each other in spite of their differences -- or perhaps because of it. Follow their journey as they meet in London, Paris and New York for a night in each city.",,London Paris New York,"Ali Zafar, Aditi Rao Hydari, Candice Pereira, Scherrikar Bell",Anu Menon
6799,"Comedy, Horror, Thriller","A determined historian, sifts through old manuscripts, seeking clues about the mysterious legends of vampires in Vijay Nagar.",,Vampires of Vijay Nagar,"Samantha Ruth Prabhu, Ayushmann Khurrana, Aparshakti Khurana, Sapthami Gowda",Amar Kaushik
6800,Drama,"Sita Sinha watches as her young son, Bihari fights another young, wealthy lad, Amar for spattering dirt on his body using his car. Sita then intervene, separates both, take them to her ...                See full summary »",,Khudgarz,"Jeetendra, Shatrughan Sinha, Bhanupriya, Amrita Singh",Rakesh Roshan
6801,"Action, Comedy, Crime",A man returning from a trip discovers that an impostor has taken over his life.,,Bol Radha Bol,"Rishi Kapoor, Juhi Chawla, Kader Khan, Shakti Kapoor",David Dhawan
6802,"Action, Adventure, Thriller","The story revolves around a vet, who on his homecoming to his father's elephant reserve, encounters and fights an international poachers racket.",,Junglee,"Vidyut Jammwal, Lars Kjeldsen, Asha Bhat, Vishwanath Chatterjee",Chuck Russell
6803,"Action, Adventure, Drama","Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka.",,Thangalaan,"Vikram, Parvathy Thiruvothu, Malavika Mohanan, Pasupathy",Pa. Ranjith
6804,"Action, Drama, Sport",The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.,,Irudhi Suttru,"Madhavan, Nassar, Radha Ravi, Kaali Venkat",Sudha Kongara
6805,"Comedy, Drama, Romance","An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, a youngster romancing in Paris with Iza, Union Leader Srinu in love with his boss lady, and a first college romance.",,World Famous Lover,"Vijay Deverakonda, Raashi Khanna, Aishwarya Rajesh, Catherine Tresa",Kranthi Madhav
6806,"Comedy, Drama, Romance",A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,,Chupke Chupke,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan",Hrishikesh Mukherjee
6807,"Comedy, Drama",The journey of four married friends who set off to Goa seeking solace from their ordinary lives and find themselves in - an extraordinary adventure,,Jahaan Chaar Yaar,"Swara Bhasker, Meher Vij, Shikha Talsania, Pooja Chopra",Kamal Pandey
6808,"Comedy, Crime, Drama","Two college boys from diverse backgrounds believe that since time is on their side, anything is possible. Consequently, their arrogance leads them to challenge each other to prove their efficiencies.",,Dil Dosti Etc,"Imaaduddin Shah, Shreyas Talpade, Smriti Mishra, Nikita Anand",Manish Tiwary
6809,"Comedy, Crime, Drama",4 mental patients formulate the plan to rescue their kidnapped doctor and teach the kidnappers a lesson.,,Krazzy 4,"Juhi Chawla, Irrfan Khan, Arshad Warsi, Rajpal Naurang Yadav",Jaideep Sen
6810,"Drama, Romance","Mohan Sharma (Tarun Bose) is a workaholic whose life changes dramatically after his wife dies giving birth to their daughter Uma (Sharmila Tagore). He despises the daughter by day, and ...                See full summary »",,Anupama,"Dharmendra, Sharmila Tagore, Shashikala Jawalkar, Deven Verma",Hrishikesh Mukherjee
6811,"Action, Comedy, Drama","Teja's family consists of himself, his wife, Sita, his brother, Shanker, and a son, Sunder. They all live happily. Things take a turn for the worse, when Sita passes away. Teja decides to ...                See full summary »",,Chacha Bhatija,"Dharmendra, Hema Malini, Randhir Kapoor, Yogeeta Bali",Manmohan Desai
6812,"Crime, Mystery, Thriller","Taking place almost entirely over the course of one stormy night, a woman is terrified when an accused murderer escapes from a mental hospital and seeks refuge in her home.",,Ittefaq,"Rajesh Khanna, Nanda Karnataki, Sujit Kumar, Bindu Desai",Yash Chopra
6813,"Action, Drama, Romance",A young police officer and the daughter of a gangster fall in love at first sight.,,Patthar Ke Phool,"Salman Khan, Raveena Tandon, Kiran Kumar, Manohar Singh",Anant Balani
6814,"Action, Drama",Three women are sentenced to Death as they dare to speak out and threaten to break the Status Quo of a male dominated society.,,The Death Sentence: Mrityu Dand,"Shabana Azmi, Madhuri Dixit, Ayub Khan, Shilpa Shirodkar",Prakash Jha
6815,"Action, Drama","The Fighter Suman is a captivating love story with a twist. Suman, the son of a wealthy businessman, falls in love with a girl named Pooja, only to have her mysteriously killed. Devastated,...                See full summary »",,The Fighter Suman,"Rajani Bharadwaj, Zayleen Ganapathy, Dharma Keerthiraj, Nimika Ratnakar",Ravi Sagar M
6816,Drama,"Shankar (Manoj Kumar), his lovely wife Geeta (Nanda) and Deepak (Master Satyajeet) are a poor but happy family. Tragedy strikes one day, when Deepak wonders over to the railway tracks. When...                See full summary »",,Shor,"Manoj Kumar, Jaya Bachchan, Premnath Malhotra, Kamini Kaushal",Manoj Kumar
6817,"Action, Drama","In India circa after the British Rule, there is a princely family consisting of Bade Thakur (Shammi Kapoor), his sons Devan (Vijayendra Ghatge), Vikram Singh (Vinod Khanna), and a third son...                See full summary »",,Batwara,"Dharmendra, Vinod Khanna, Dimple Kapadia, Poonam Dhillon",J.P. Dutta
6818,"Action, Crime, Drama","A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",,Bullett Raja,"Saif Ali Khan, Sonakshi Sinha, Vidyut Jammwal, Jimmy Shergill","Tigmanshu Dhulia, Ajit Sable, Sanjiv Trigunayat"
6819,"Crime, Drama, Romance",A lesbian daughter fights off an arranged marriage in India while a religious fundamentalist targets an anti-extremist scholar in New York.,,Unfreedom,"Victor Banerjee, Adil Hussain, Bhanu Uday, Preeti Gupta",Raj Amit Kumar
6820,"Drama, Family, Music",Dia's dance teacher is dying. She returns to the town where she learnt to live and dance and most importantly to save the endangered Ajanta theatre.,,Aaja Nachle,"Madhuri Dixit, Darshan Jariwala, Raghubir Yadav, Divya Dutta",Anil Mehta
6821,"Comedy, Drama, Romance",A man from Mumbai (then Bombay) is angry about various issues in different circumstances.,,Albert Pinto Ko Gussa Kyon Ata Hai,"Naseeruddin Shah, Shabana Azmi, Smita Patil, Dilip Dhawan",Saeed Akhtar Mirza
6822,"Action, Crime, Drama","A Bangalore-based police officer is told to go undercover in Mumbai, infiltrate the gang run by his childhood friends and bring them to justice.",,Angaaray,"Akshay Kumar, Nagarjuna Akkineni, Pooja Bhatt, Sonali Bendre",Mahesh Bhatt
6823,Action,"Bitter animosity and hatred has existed between the communities of Jangavar and Dilavar. While Dilavar's Roshan wants to bring peace between everyone, he sets an example by marrying Chandni...                See full summary »",,Jeene Nahi Doonga,"Dharmendra, Shatrughan Sinha, Raj Babbar, Anita Raj",Rajkumar Kohli
6824,Drama,an uncomplicated man with few uncomplicated dreams - Sanjay Mishra as Rikshaw Driver.,,Woh 3 Din,"Parnika Chandak, Shobha Gavane, Thulla Khan, Ayush Kumar",Raaj Aashoo
6825,"Animation, Adventure, Family",testing one from prod trivial trivia from 2010,,Testing Movie1,"Dom Fantana, Marty Bower, Paul Ohlhaut, Justin Campbell","Dom Fantana, James Hannay, James P Savage, Ruarc Sorensen, Timothy Fantastic, Elise Huard"
6826,"Comedy, Drama, Romance","When you can't make it on your own, the best thing to do is to fake it. But, the question remains, how long can you fake true love?",,Mujhse Fraaandship Karoge,"Saqib Saleem, Saba Azad, Nishant Dahiya, Tara D'Souza",Nupur Asthana
6827,"Crime, Thriller",The film revolves around a bold female contract killer. She takes up the crime syndicate and fights for power. An incident changed her life upside down.,,Quotation Gang,"Priyamani, Sunny Leone, Jackie Shroff, V. Jayaprakash",Vivek
6828,Drama,Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following ...                See full summary »,,Mere Apne,"Meena Kumari, Vinod Khanna, Shatrughan Sinha, Sumita Sanyal",Gulzar
6829,Drama,"A story of a husband cheating his wife, capturing her property and killing her father. The wife then hires a killer to carry out the killing and manage the situation.",,Teri Khata,"Abhik Benazir, Ram Kumar Singh Bhadouria, Ravi Bhatia, Manish Chawla",Prashant Kumar Giri
6830,"Action, Crime, Drama","Four college friends starts an underground fight club in order to earn quick money, nevertheless they become suspects of a murder of a man, who turns out to be the mob boss' brother.",,Fight Club: Members Only,"Suniel Shetty, Sohail Khan, Zayed Khan, Dino Morea","Abhay Chopra, Vikram Chopra"
6831,"Action, Comedy, Romance","Raju, a waiter, is crazy about TV reporter, Geeta. During an investigation, in order to prolong their meetings, he bears false witness to a murder and misleads the police with a fake description.",,Hum To Mohabbat Karega,"Karisma Kapoor, Bobby Deol, Rohit Roy, Sadashiv Amrapurkar",Kundan Shah
6832,Drama,It follows an ambitious girl who is raging against an internal battle that is rooted in unhealed trauma.,,Sanaa,"Radhika Madan, Pooja Bhatt, Shikha Talsania, Sohum Shah",Sudhanshu Saria
6833,"Action, Crime, Drama","A guilt-ridden hit man tries to quit his job after a traumatic killing, before his boss kidnaps his wife in order to make him do one last job.",,Karam,"John Abraham, Priyanka Chopra Jonas, Bharat Dabholkar, Vishwajeet Pradhan",Sanjay F. Gupta
6834,"Drama, Mystery, Thriller","A terminally ill man frames himself for murder to allow his family to collect the reward money. After a successful operation, he escapes police custody and searches for the real killer.",,Majboor,"Amitabh Bachchan, Parveen Babi, Pran Sikand, Farida Jalal",Ravi Tandon
6835,"Romance, Thriller","Geeta and Anil meet, gets acquainted with each other only to fall in love; they then get married but on their wedding night Anil is killed by bandits leaving a devastated Geeta who goes ...                See full summary »",,Chalte Chalte,"Simi Garewal, Bhisham Kohli, Nazneen, Shreeram Lagoo",Sunder Dar
6836,"Comedy, Drama",Aman Joshi (Aman Verma) is on a research assignment. His subject is the chawl dwellers in Bombay City. He rents a small tenement there and talks to the people living there. He soon gets ...                See full summary »,,Pran Jaaye Par Shaan Na Jaaye,"Raveena Tandon, Namrata Shirodkar, Rinke Khanna, Divya Dutta",Sanjay Jha
6837,"Action, Romance, Thriller",A police officer is tasked with protecting a murder witness.,,Lootere,"Sunny Deol, Juhi Chawla, Dinesh Anand, Pooja Bedi",Dharmesh Darshan
6838,Romance,Teen lovers are separated by parental snobbery; their efforts to reunite drive the plot.,,Chand Sa Roshan Chehra,"Samir Aftab, Shabbir Ahluwalia, Shahid Ahmed, Talat Aziz",Shahab Shamsi
6839,"Comedy, Musical, Romance","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman -- a romance his parents oppose.",,Bobby,"Dimple Kapadia, Rishi Kapoor, Pran Sikand, Premnath Malhotra",Raj Kapoor
6840,"Action, Crime, Thriller","A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",,Dhruva,"Ram Charan, Arvind Swami, Rakul Preet Singh, Navdeep",Surender Reddy
6841,"Crime, Thriller","Regina is an upright and straightforward girl whose world revolves around her father. However, things change when her father gets killed. She soon gets married to Jo, an employee at a Private bank. What will happen when Jo dies too?",,Regina,"Sunaina, Ananth Nag, Nivas Adithan, Vivek Prasanna",Domin D'Silva
6842,Drama,"Interwoven stories of people in India and US as they face dilemmas of life time in the months leading to the biggest Industrial disaster in human history that claimed 10,000 innocent lives within a few hours. Inspired by real events.",,Bhopal: A Prayer for Rain,"Mischa Barton, Martin Sheen, Kal Penn, Lisa Dwan",Ravi Kumar
6843,"Action, Crime, Drama",Add a Plot,,Saindhav,"Nawazuddin Siddiqui, Ruhani Sharma, Venkatesh Daggubati, Arya",Sailesh Kolanu
6844,"Action, Crime, Drama","A maverick cop is forced to work outside the limits of law, when the system fails.The story weaves across the past and present while revealing the motives that shape his actions.",,Christopher,"Mammootty, Vinay Rai, Shine Tom Chacko, Jinu Joseph",B. Unnikrishnan
6845,"Comedy, Romance",Everybody loves beautiful Alisha and it's no surprise that nerdy Abhay loves her too but she doesn't know he exists until years later their paths cross.,,Pyaar Impossible!,"Priyanka Chopra Jonas, Anupam Kher, Dino Morea, Uday Chopra",Jugal Hansraj
6846,"Crime, Drama","Ramesh, a businessman, is arrested for molesting Bharati, a beauty queen. She is later accused of murdering him and arrested. The events that unfold show what compelled her to do so.",,Insaf Ka Tarazu,"Zeenat Aman, Raj Babbar, Deepak Parashar, Padmini Kolhapure",B.R. Chopra
6847,Drama,"Bombay-bred Narain goes to a village, where he meets and falls in love with a village belle, Yashodra. She also is attracted to him, and both get married. After their marriage, both go to ...                See full summary »",,Sanjog,"Jeetendra, Jaya Prada, Vinod Mehra, Aruna Irani",K. Viswanath
6848,"Comedy, Drama, Romance","A woman decides to marry her childhood friend, after getting her heart broken by her sweetheart.",,Kyun! Ho Gaya Na...,"Amitabh Bachchan, Vivek Oberoi, Aishwarya Rai Bachchan, Om Puri",Samir Karnik
6849,"Biography, Drama, History","The film, which is about the last five years of the Indian leader Subhas Chandra's life, also includes his life's story in flashback sequences.",,Netaji Subhas Chandra Bose: The Forgotten Hero,"Vinay Anand, Ila Arun, Pankaj Berry, Nicolas Chagrin",Shyam Benegal
6850,"Comedy, Drama",Two old people get married and their children from their previous marriages now have to live together under the same roof. Clashes and hilarity ensue.,,Khatta Meetha,"Ashok Kumar, Rakesh Roshan, Bindiya Goswami, Raju Shrestha",Basu Chatterjee
6851,War,"The story begins with a Shootout scene where NIA officers are on raid to a secret location in Jungle where 8 Terrorists and 1 Master mind is hiding, who are planning a Big event before the ...                See full synopsis »",,Sector Balakot,"Elakshi A Gupta, Vipul Gupta, Ridoyanul Hoq, Puneet Issar",Hitesh Paulbhai Khristy
6852,"Action, Crime, Thriller","Along with his partners Inspector Joseph and Vandhana, DSP Ranjith Kalidoss attempts to hunt down a psychotic killer before realizing he's himself suffering from an unwanted disorder.",,Nibunan,"Arjun Sarja, Prasanna, Varalaxmi Sarathkumar, Sruthi Hariharan",Arun Vaidyanathan
6853,"Comedy, Drama, Romance","A rich girl appoints a simpleton, as her bodyguard. She soon falls in love with him, which creates havoc in his life.",,Anari,"Rakhee Gulzar, Venkatesh Daggubati, Karisma Kapoor, Suresh Oberoi",K. Muralimohana Rao
6854,"Action, Comedy","A youngster tries to protect his sister-in-law, a transport official, from a dreaded goon who runs an illegal road transport business.",,MCA Middle Class Abbayi,"Nani, Sai Pallavi, Bhoomika Chawla, Rajeev Kanakala",Venu Sriram
6855,"Drama, Romance",A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,,Music Teacher,"Divya Dutta, Neena Gupta, Manav Kaul, Niharika Lyra Dutt",Sarthak Dasgupta
6856,"Comedy, Drama, Thriller",A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,,Taxi No. 9 2 11: Nau Do Gyarah,"John Abraham, Nana Patekar, Sonali Kulkarni, Sameera Reddy",Milan Luthria
6857,"Comedy, Drama, History","Wazed Ali Shah was the ruler of one of the last independent kingdoms of India. The British, intent on controlling this rich country, had sent General Outram on a secret mission to clear the...                See full summary »",,Shatranj Ke Khilari,"Sanjeev Kumar, Saeed Jaffrey, Shabana Azmi, Farida Jalal",Satyajit Ray
6858,"Action, Comedy, Drama",A Bombay police officer seeks revenge when his brother is killed by a powerful underworld figure. Things get complicated when a matinee movie idol begins to shadow the policeman so he can research a movie role.,,Main Khiladi Tu Anari,"Akshay Kumar, Saif Ali Khan, Shilpa Shetty Kundra, Raageshwari",Sameer Malkan
6859,"Drama, Musical, Romance","Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",,Sangam,"Raj Kapoor, Rajendra Kumar Tuli, Vyjayanthimala, Iftekhar",Raj Kapoor
6860,"Action, Comedy, Drama","The eldest of seven brothers, who run a family farm together, marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",,Satte Pe Satta,"Amitabh Bachchan, Hema Malini, Ranjeeta Kaur, Amjad Khan",Raj N. Sippy
6861,"Action, Crime, Thriller","The biggest saga of the year is about to unfold the dark side of India's underworld enterprise. The film will showcase the true story behind India's biggest underworld enterprise, D Company...                See full summary »",,D Company,"Sandeep Bose, Abhilash Chaudhary, Gaurav Daagar, Pranay Dixit",Ram Gopal Varma
6862,Sport,Add a Plot,,The Test,"Nayanthara, Madhavan, Siddharth, Meera Jasmine",S. Sashikanth
6863,"Drama, Romance, Thriller","Neel has a fatal heart ailment. Luckily, He gets a heart transplant. After this surgery, he meets Anahita.",,Red: The Dark Side,"Aftab Shivdasani, Celina Jaitly, Amrita Arora, Amin Hajee",Vikram Bhatt
6864,"Action, Comedy, Crime",A bunch of misfits and gangsters embarks on a journey to find a lost and stolen diamond.,,Fool N Final,"Sunny Deol, Shahid Kapoor, Vivek Oberoi, Ayesha Takia",Ahmed Khan
6865,"Comedy, Romance","Sunny Malhotra (Vivek Oberoi) is a 28 year old writer who has carved a name for himself as a popular agony uncle, named Gyan Guru, writing for the Times of Hindustan. Sunny also managed to ...                See full summary »",,Home Delivery: Aapko... Ghar Tak,"Vivek Oberoi, Mahima Chaudhry, Ayesha Takia, Boman Irani",Sujoy Ghosh
6866, ,Add a Plot,,MAX,"Sudeep, Samyuktha Hornadu, Anirudh Bhat, Sukrutha Wagle",Vijay Karthikeyan
6867,"Comedy, Drama, Family",Adi Chachu faces a dilemma - and it's a big one! What if YOU were told by the God of Death himself you had only 15 minutes of life left? What would YOU do?!,,Vaah! Life Ho Toh Aisi!,"Shahid Kapoor, Amrita Rao, Sanjay Dutt, Arshad Warsi",Mahesh Manjrekar
6868,"Comedy, Drama",A feisty girl from Punjab tries to continue her family traditions by opening a sex clinic to help and aware others in her hometown.,,Khandaani Shafakhana,"Sonakshi Sinha, Badshah, Varun Sharma, Priyansh Jora",Shilpi Dasgupta
6869,"Action, Crime, Drama","An Engineering student is molested, beaten and humiliated when he goes to reside in a hostel.",,Hostel,"Vatsal Sheth, Tulip Joshi, Mukesh Tiwari, Nagesh Bhonsle",Manish Gupta
6870,"Action, Crime, Drama","When an innocent man aspiring to be a musician is framed for committing a murder, he decides to form a music band with his co-prisoners for a competition, but his real intention seems to be different.",,Lucknow Central,"Farhan Akhtar, Diana Penty, Ronit Roy, Gippy Grewal",Ranjit Tewari
6871,"Comedy, Drama, Romance","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father.",,Tere Naal Love Ho Gaya,"Riteish Deshmukh, Genelia Deshmukh, Om Puri, Tinnu Anand",Mandeep Kumar
6872,"Drama, Romance",A film about an Innocent Girl trapped in Delhi Sex Scandal,,M.... Matric Pass,"Seema Dogra, Paras Sharma, Sushma Sharma, Kaash Sherawat",Suresh Jain
6873,"Action, Drama, Romance",A love triangle forms after a male finds his best friend has married his sweetheart.,,Sanam Teri Kasam,"Saif Ali Khan, Atul Agnihotri, Pooja Bhatt, Sheeba Agarwal",Lawrence D'Souza
6874,"Drama, History, War",Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,,Children of War,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",Mrityunjay Devvrat
6875,Romance,"Raju lives with his widowed mother, Janki, in a small town and works as garage mechanic. One day he meets with wealthy Rachna Malhotra, and after a few misunderstandings, both fall in love ...                See full summary »",,Anjaana,"Rajendra Kumar Tuli, Babita Kapoor, Pran Sikand, Prem Chopra",Mohan Kumar
6876,"Action, Drama, Fantasy","A horse groom reconnects with his childhood love, but she is engaged to marry the local prince.",,Mirzya,"Harshvardhan Kapoor, Saiyami Kher, Art Malik, Anuj Choudhry",Rakeysh Omprakash Mehra
6877,Drama,Add a Plot,,Boyfriend.com,"Harshvardhan Kapoor, Saiyami Kher, Art Malik, Anuj Choudhry",Rakeysh Omprakash Mehra
6878,"Drama, Musical, Mystery","A lawyer's wife dies in his arms. Yet, another woman - identical in appearance and accused of aiding a gang of bandits - claims to be the lawyer's wife. A courtroom drama ensues.",,Mera Saaya,"Sunil Dutt, Sadhana Shivdasani, Jagdish Sethi, K.N. Singh",Raj Khosla
6879,"Comedy, Drama, Romance","In the midst of a loud Punjabi wedding, a boy sneaks his dad's fancy new car to impress the college hottie and all hell breaks loose when he loses it.",,Mere Dad Ki Maruti,"Saqib Saleem, Rhea Chakraborty, Ram Kapoor, Prabal Panjabi",Ashima Chibber
6880,"Comedy, Drama, Family","Families of two different cultures join hands and come together for love, humanity, and peace with a strong message of national integrity",,Shubh Nikah,"Aksha Pardasany, Rohit Vikkram, Arsh Sandhu, Kunwar Aziz",Arshad Siddiqui
6881,Romance,Add a Plot,,School Romance: Pure Love Web Series,"Shivaay Aryan, Sadhna Baksh, Riya Bhagat, Asim Hussain",Alfa Aryan
6882,"Action, Comedy, Drama","Collegian Adarsh and his elder brother, Aniket paves two different path ways leading to the same goals when they excel in studies leading to bright futures only to find their respective ...                See full summary »",,Andolan,"Sanjay Dutt, Govinda, Somy Ali, Mamta Kulkarni",Aziz Sejawal
6883,"Action, Drama, History",Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji Subhas Chandra Bose's death were discussed and debated.,,Gumnaami,"Prasenjit Chatterjee, Anirban Bhattacharya, Tanushree Chakraborty, Sanjay Gurbaxani",Srijit Mukherji
6884,"Drama, Romance","22-year-old Parvathy is a free-spirited girl who loves to live life on her terms. However, when she is left with no option but to tie the knot with a man of her parents' choice, her life ...                See full summary »",,Dobaara,"Aishwarya Arora, Manav Kaul, Parvathy Omanakuttan",Bejoy Nambiar
6885,"Comedy, Drama, Romance","A short, nondescript man, Mithilesh Shukla marries a tall and beautiful woman. Now jealousy and Mithilesh's own insecurities threaten to wreck his happy home.",,"Main, Meri Patni... Aur Woh!","Rajpal Naurang Yadav, Rituparna Sengupta, Naseeruddin Shah, Kay Kay Menon",Chandan Arora
6886,"Drama, Comedy, Family","A teenage girl will not accept her family's attempt to arrange a marriage for her, as her heart is currently too full of love for the movies and heartthrob actor ""Dharmendra.""",,Guddi,"Dharmendra, Jaya Bachchan, Sumita Sanyal, Utpal Dutt",Hrishikesh Mukherjee
6887,"Action, Crime, Drama","A rookie cop questions the tactics of his superior, and attempts to track the abductors of his girlfriend.",,Shagird,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap",Tigmanshu Dhulia
6888,"Action, Drama, Romance",A love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love.,,Ishaqzaade,"Arjun Kapoor, Parineeti Chopra, Gauahar Khan, Anil Rastogi",Habib Faisal
6889,Drama,A man (Amitabh Bachchan) is found wounded on railway tracks and when he awakens he has no memory of who he is and doesn't remember anything about his life. Six years later he is living with...                See full summary »,,Do Anjaane,"Amitabh Bachchan, Rekha, Prem Chopra, Pradeep Kumar",Dulal Guha
6890,"Action, Thriller","Rajesh Khanna plays the role of Amar an unemployed struggle in life, just because he believes in honesty. Ammar's eyes open when his mother dies in a car accident. He realizes that his ...                See full summary »",,Chalta Purza,"Rajesh Khanna, Parveen Babi, Rakesh Roshan, Ajit Khan",Bhappi Sonie
6891,"Drama, Romance",Dr Neela is asked to assist in a a surgery by her senior Dr Chandra but the patient passes away and Dr Chandra tells her that patient had zero chances of survival and he asked her to ...                See full summary »,,Safar,"Rajesh Khanna, Sharmila Tagore, Feroz Khan, Ashok Kumar",Asit Sen
6892,"Comedy, Drama, Musical","The D'Souza and Chaddha families are neighbors and have been good friends for as long as they can remember; despite their diverse religious and cultural beliefs, they celebrate Diwali and ...                See full summary »",,Badhaai Ho Badhaai,"Anil Kapoor, Rana Jung Bahadur, S.K. Batra, Panni Chatterjee",Satish Kaushik
6893,"Romance, Thriller",A woman sets out to uncover how her lover went missing.,,Tera Intezaar,"Arbaaz Khan, Sunny Leone, Bhani Singh, Salil Ankola",Raajeev Walia
6894,"Drama, Romance","This vintage Bollywood drama centers on a courageous girl named Angara, who finds herself torn between true love and loyalty to her gypsy band and her father when she falls for Vikram, a warrior from a rival clan.",,Sehra,"Sandhya, Lalita Pawar, Prashanth, Mumtaz Askari",Shantaram Rajaram Vankudre
6895,"Comedy, Drama","An educated man spends his days writing letters for the varied inhabitants of his small, poor, and illiterate village, in this political and social satire.",,Welcome to Sajjanpur,"Shreyas Talpade, Amrita Rao, Ravi Kishan, Ila Arun",Shyam Benegal
6896,"Action, Drama, Romance",Ram and Avtar are both childhood best friends. The difference between the two friends is that Ram would willingly make priceless sacrifice for his friend; the time when both are separated ...                See full summary »,,Ram-Avtar,"Sunny Deol, Anil Kapoor, Sridevi, Shakti Kapoor",Sunil Hingorani
6897,"Crime, Drama, Thriller",The story of the world's biggest I.T. scam.,,Mosagallu,"Vishnu Manchu, Kajal Aggarwal, Suniel Shetty, Ruhi Singh",Jeffrey Gee Chin
6898,"Comedy, Drama, Romance",A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,,Sardar Ka Grandson,"John Abraham, Rakul Preet Singh, Aditi Rao Hydari, Arjun Kapoor",Kaashvi Nair
6899,"Comedy, Crime, Drama","A story centered on four students coming of age during a year at their school, St. Marks.",,Always Kabhi Kabhi,"Samir Chandra, Lillete Dubey, Satyajeet Dubey, Ali Fazal",Roshan Abbas
6900,Comedy,"Chantu and Bantu are two meddling friends who join a hotel management program in Goa by deceit. During their training, they expose the illicit activities of many hotel personnel and guests.",,Xcuse Me,"Sharman Joshi, Sahil Khan, Anil Chaudhary, Snehal Dabi",N. Chandra
6901, ,"This Story is the most comprehensive look at the Education System, Caste System and Gender Inequality in India. Motivated by ancient religious edicts, no amount of governmental ...                See full summary »",,Chuhiya,"Hyder Kazmi, Onkar Das Manikpuri, Anupama Prakash, Akshay Verma",Hyder Kazmi
6902,"Drama, Musical, Romance","When Ranvir, the responsible elder brother of a middle-class Indian family, realises that his reckless younger brother Rajvir is in love, he arranges for Rajvir's marriage, not realising that the girl is the same person he is in love with.",,Dillagi,"Sunny Deol, Bobby Deol, Urmila Matondkar, Dara Singh Randhawa",Sunny Deol
6903,"Drama, Romance","Amit, the son of a taxi driver, and Reema, a rich business man's daughter, fall in love. However Reema's father wants to marry her to Vicky, who's father is the biggest gangster in Mumbai. How will their love triumph?",,Love Love Love,"Aamir Khan, Juhi Chawla, Gulshan Grover, Dalip Tahil",Babbar Subhash
6904,"Horror, Romance, Thriller","When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",,Raaz 3: The Third Dimension,"Bipasha Basu, Emraan Hashmi, Esha Gupta, Samir Chandra",Vikram Bhatt
6905,"Drama, Horror, Mystery","Out to relax and have fun at a farmhouse, a couple experience horror at the hands of an unknown entity.",,Ragini MMS,"Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice",Pavan Kirpalani
6906,Crime,"The film revolves around the lives of three friends-cum-petty crooks whose biggest crime is the fact that they reside in Mumbai's notorious area, where nefarious activities of the organized-crime syndicates take shape.",,Lakeer Ka Fakeer,"Vinod Acharya, Vicky Ahuja, Saaikat Bagbaan, Ajaz Khan",Zubair Khan
